id,date,to user account,to user account id,to eth address,from user account,from user account id,from eth address,reason,source id,source name,score 1,score 2,score 3,score 4,duplicate id 1,duplicate id 2,duplicate id 3,duplicate id 4,dismissed 1,dismissed 2,dismissed 3,dismissed 4,quantifier 1 username,quantifier 1 eth address,quantifier 2 username,quantifier 2 eth address,quantifier 3 username,quantifier 3 eth address,quantifier 4 username,quantifier 4 eth address,avg score
64665767ee603525d080ef72,2023-05-18T16:50:47.563Z,JHennyArt#2106,63b5a2afef905c1d9bee6819,0xeC3de6e05F3c5A0b8304488Be1f114ED0104e10D,Marathonmind#3078,63b5e810ef905c1d9bee86a0,0x721bA19c32051Fd8e851a74958C52936516c7fDC,For seamlessly walking into the comms role,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,0,5,5,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,eduardovegap,0x1d921dff757610FbDB0073479e12c0a07d382677,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,nuggan,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,2.5
6466576cee603525d080ef82,2023-05-18T16:50:52.843Z,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,bear100#9085,623ccc0771e68891990eb3c6,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,for carrying the process of the new agile framework within the team,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,13,0,34,,,6463b058ee603525d080ee6a,,false,false,false,false,tamarandom,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,divine_comedian,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,15
64665773ee603525d080ef91,2023-05-18T16:50:59.196Z,gideonro#0,621f79d595a79aa51435c5ff,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,natesuits#4789,621f79cf95a79aa51435b2f7,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,for developing the Project Prospectus document and taking care of the high level roadmap for the TEC.,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,13,5,21,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,9.75
64665777ee603525d080efa0,2023-05-18T16:51:03.342Z,Tamarandom#9361,621f79ce95a79aa51435b225,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,JHennyArt#2106,63b5a2afef905c1d9bee6819,0xeC3de6e05F3c5A0b8304488Be1f114ED0104e10D,for proposing idea for Async communication within the TEC,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,5,5,8,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,4.5
64665781ee603525d080efaf,2023-05-18T16:51:13.915Z,divine_comedian#0,621f79cf95a79aa51435b4cc,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for his enthusiasm for praise! Slowly getting back to use it again,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,5,5,8,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,4.5
646657abee603525d080efbe,2023-05-18T16:51:55.854Z,gideonro#0,621f79d595a79aa51435c5ff,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,natesuits#4789,621f79cf95a79aa51435b2f7,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,"for guiding the coordination team, always being pragmatic, and bringing out the best in all of us.",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,21,8,34,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,15.75
646657afee603525d080efcd,2023-05-18T16:51:59.013Z,akrtws#4246,621f79cf95a79aa51435b3c3,0xA26d6AEB775a9528c012B748ACe66E3B0FD574cE,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for the work on the Academy's front. I'm always surprised with the amount of things you get done over there,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,8,3,55,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,16.5
646657afee603525d080efd4,2023-05-18T16:51:59.608Z,pat.zip (TE Academy)#5266,621f79d995a79aa51435d3aa,0x9F6b969Ee3F9C2b0a528b3029049e34BBD4bdB49,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for the work on the Academy's front. I'm always surprised with the amount of things you get done over there,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,8,5,55,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,17
646657c6ee603525d080efe3,2023-05-18T16:52:22.914Z,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,gideonro#0,621f79d595a79aa51435c5ff,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,for coordinating the resubmission of the Conviction Voting shutdown vote and for overall support in making sure we're moving this forward,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,8,13,13,,,,,false,false,false,false,tamarandom,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,divine_comedian,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,11.75
646657c9ee603525d080eff2,2023-05-18T16:52:25.968Z,natesuits#4789,621f79cf95a79aa51435b2f7,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,bear100#9085,623ccc0771e68891990eb3c6,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,for the work he’s been doing with the curation service by pushing it forward and taking it into new paths reason,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,0,0,13,,,64665698ee603525d080ee9c,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,eduardovegap,0x1d921dff757610FbDB0073479e12c0a07d382677,divine_comedian,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,3.25
