TO,FROM,REASON,SERVER,DATE,CHANNEL
chuygarcia92#6692,iviangita#3204,for working like an animal in Paris ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for being Zep’s go-to person every time he needs help ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,iviangita#3204,@Dan Knobelsdorf.eth for the moments he and Zep shared together in EthCC ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,iviangita#3204,for the amazing coordination for the EthCC ,Token Engineering Commons,Jul-31-2021,🙏｜praise
chuygarcia92#6692,iviangita#3204,for the amazing coordination for the EthCC ,Token Engineering Commons,Jul-31-2021,🙏｜praise
jukren#8803,iviangita#3204,for the amazing coordination for the EthCC ,Token Engineering Commons,Jul-31-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,@Mount Manu for parameters content in the forum ,Token Engineering Commons,Jul-31-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,@Mount Manu for parameters content in the forum ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,@Mount Manu for parameters content in the forum ,Token Engineering Commons,Jul-31-2021,🙏｜praise
natesuits#4789,iviangita#3204,@Mount Manu for parameters content in the forum ,Token Engineering Commons,Jul-31-2021,🙏｜praise
David (please DYOR...)#4116,iviangita#3204,@David (please DYOR...) for their contributions in Comms ,Token Engineering Commons,Jul-31-2021,🙏｜praise
iviangita#3204,iviangita#3204,@David (please DYOR...) for their contributions in Comms ,Token Engineering Commons,Jul-31-2021,🙏｜praise
iviangita#3204,iviangita#3204,for always being everywhere helping ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,@Mount Manu for his contributions and being in charge of the Commons Config Dashboard ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,iviangita#3204,for their leadership in everything inspiring that happened in Paris ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Tam2140#9361,iviangita#3204,for their leadership in everything inspiring that happened in Paris ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,iviangita#3204,for their leadership in everything inspiring that happened in Paris ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Juankbell#7458,iviangita#3204,@Dan Knobelsdorf.eth for that night they stayed up listening to music with Chuy ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,iviangita#3204,@Dan Knobelsdorf.eth for that night they stayed up listening to music with Chuy ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,iviangita#3204,@Dan Knobelsdorf.eth for that night they stayed up listening to music with Chuy ,Token Engineering Commons,Jul-31-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for also inspiring a mullet ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,for his generosity and his energy ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for all of his help and guidance for Chuy ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for all the high-fives ,Token Engineering Commons,Jul-31-2021,🙏｜praise
sem  🐝#0161,Mount Manu#3530,@sem  🐝 for all the dancing ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Juankbell#7458,Mount Manu#3530,@Dan Knobelsdorf.eth for visiting Suga’s house ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,Mount Manu#3530,@Dan Knobelsdorf.eth for visiting Suga’s house ,Token Engineering Commons,Jul-31-2021,🙏｜praise
mateodaza#3156,Mount Manu#3530,@Dan Knobelsdorf.eth for visiting Suga’s house ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,@Dan Knobelsdorf.eth for visiting Suga’s house ,Token Engineering Commons,Jul-31-2021,🙏｜praise
OddName#8763,iviangita#3204,because going back to Spain ain’t easy and for the amazing brainstorming around governance and the narratives of DAOs with Livia ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,iviangita#3204,for the amazing adventure and getting Livia in everything and for taking care of everyone and just being super generous ,Token Engineering Commons,Jul-31-2021,🙏｜praise
mateodaza#3156,iviangita#3204,for being in Paris with TEC ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Anna-Marie.Swan#8824,Mount Manu#3530,@Mount Manu for holding down the [onboarding] fort while Suga was in Paris ,Token Engineering Commons,Jul-31-2021,🙏｜praise
nic#9212,Mount Manu#3530,@Mount Manu for holding down the [onboarding] fort while Suga was in Paris ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,Mount Manu#3530,@Mount Manu for holding down the [onboarding] fort while Suga was in Paris ,Token Engineering Commons,Jul-31-2021,🙏｜praise
mheuer#9922,iviangita#3204,for jumping into the community call and collaborating with TEC with your project ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,for making the Paris trip possible ,Token Engineering Commons,Jul-31-2021,🙏｜praise
jukren#8803,Mount Manu#3530,for always being quick and responsive and staying on top of all the chaos ,Token Engineering Commons,Jul-31-2021,🙏｜praise
natesuits#4789,Mount Manu#3530,for holding down the table at ETHCC and spreading the word ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Suga#8514,Mount Manu#3530,for holding down the table at ETHCC and spreading the word ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Tam2140#9361,Mount Manu#3530,for holding down the table at ETHCC and spreading the word ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,@Dan Knobelsdorf.eth for speaking at the conferences ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Tam2140#9361,Mount Manu#3530,@Dan Knobelsdorf.eth for speaking at the conferences ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,Mount Manu#3530,@Dan Knobelsdorf.eth for speaking at the conferences ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,Mount Manu#3530,@Dan Knobelsdorf.eth for speaking at the conferences ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Tam2140#9361,Mount Manu#3530,for looking after the TEC fam and keeping everybody healthy ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Suga#8514,Mount Manu#3530,for looking after the TEC fam and keeping everybody healthy ,Token Engineering Commons,Jul-31-2021,🙏｜praise
iviangita#3204,iviangita#3204,for always setting up the community call slides for us ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Vitor Marthendal#0090,Mount Manu#3530,@Vitor Marthendal for their work building the Commons Configuration Dashboard ,Token Engineering Commons,Jul-31-2021,🙏｜praise
divine_comedian#5493,Mount Manu#3530,@Vitor Marthendal for their work building the Commons Configuration Dashboard ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,@Vitor Marthendal for their work building the Commons Configuration Dashboard ,Token Engineering Commons,Jul-31-2021,🙏｜praise
markop#2007,Mount Manu#3530,@Vitor Marthendal for their work building the Commons Configuration Dashboard ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Nuggan#5183,Mount Manu#3530,@Vitor Marthendal for their work building the Commons Configuration Dashboard ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,Mount Manu#3530,for having excellent conversations and joining Mitch in adventures ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,Mount Manu#3530,@Mount Manu for helping David go through the Commons Configuration Dashboard and play with some of the settings ,Token Engineering Commons,Jul-31-2021,🙏｜praise
natesuits#4789,Mount Manu#3530,"for being at the DAOist desk all day, wrangling, taking care of people, checking in with Anne Marie ",Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,for jumping on the ETHCC stage to do an impromptu presentation and slaying it ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,Mount Manu#3530,for giving amazing presentations in ETHCC ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Tam2140#9361,Mount Manu#3530,for giving amazing presentations in ETHCC ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,Mount Manu#3530,for taking over the Stewards group temporarily ,Token Engineering Commons,Jul-31-2021,🙏｜praise
natesuits#4789,Mount Manu#3530,for taking over the Stewards group temporarily ,Token Engineering Commons,Jul-31-2021,🙏｜praise
chuygarcia92#6692,Mount Manu#3530,for getting everyone drunk on mezcal ,Token Engineering Commons,Jul-31-2021,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for going to Dan’s presentation ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for going to Dan’s presentation ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,Mount Manu#3530,for the heart-to-heart conversations ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Suga#8514,Mount Manu#3530,as an incentive to give feedback on the Commons config dashboard (since she has been too busy to do it) ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,for being a perpetual motion machine ,Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,Mount Manu#3530,"for talking about Conviction Voting at an ETHCC venue, which lead Michael to meet Livia, and then Mt. Manu, who joined him to work in ArborVote DAO ",Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,Mount Manu#3530,@Mount Manu for inviting Michael to present ArborVote at the spotlight in the Community Call ,Token Engineering Commons,Jul-31-2021,🙏｜praise
mheuer#9922,Mount Manu#3530,"for creating ArborVote, arguably one of the most impactful DAOs currently in development , dealing with deliberation, argument visualization, and collective sensemaking. Truly an honor to be working alongside you. ",Token Engineering Commons,Jul-31-2021,🙏｜praise
griff#3281,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
acidlazzer#5796,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Anna-Marie.Swan#8824,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
chuygarcia92#6692,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
AmwFund#0979,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
David (please DYOR...)#4116,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Juankbell#7458,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
liviade#1387,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
mheuer#9922,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
divine_comedian#5493,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
OddName#8763,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
satorid#8361,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Suga#8514,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Zeptimus#3359,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
karmaticacid#1218,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
patriacaelum (Austin)#3496,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
xm3van#0929,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
BK#7471,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Letty#5399,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,@Mount Manu for being my partner in transcribing the praise 😄 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
nic#9212,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
durgadas#9280,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
jukren#8803,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
ygg_anderson#4998,iviangita#3204, @David (please DYOR...) @Dan Knobelsdorf.eth @Mount Manu  @patriacaelum (Austin)  for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0 ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Alp#3768,Mount Manu#3530,for devoting 20 minutes to going through our Commons configuration dashboard and providing valuable feedback on how to make it better! ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Alp#3768,Mount Manu#3530,"for diving deep into the TEC, devoting several hours of study over this past week to read Shermin's Medium article, research on Disputable Voting, watching our presentations at ETHCC, and turning that into insight as to how we can grow as a community ",Token Engineering Commons,Jul-31-2021,🙏｜praise
iviangita#3204,Mount Manu#3530,for helping me do 1 hour+ of praise transcription and for answering all the questions I had ,Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,Alp#3768,"@Mount Manu for onboarding me in a detailed 2-hour conversation, presenting me the mission and the vision of TEC, sharing articles and documents of the community ",Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,Alp#3768,"@Mount Manu for helping me through Commons configuration dashboard,  explaining me the DV in-depth ",Token Engineering Commons,Jul-31-2021,🙏｜praise
Mount Manu#3530,Alp#3768,@Mount Manu for just being an incredible member of the community as he is and sharing his excitement and amazement for the TEC community. ,Token Engineering Commons,Jul-31-2021,🙏｜praise
JeffEmmett#7202,Lewwwk#4227,for being a super welcoming and inviting guide for the ecosystem. ,Commons Stack,Jul-31-2021,🙌praise
griff#3281,Lewwwk#4227,for welcoming to hang in a working session that I had nothing to do with but just wanted to be in a room with others while i worked. ,Commons Stack,Jul-31-2021,🙌praise
pab🐝🐙#6151,Mount Manu#3530,for devoting 20 minutes to going through our Commons configuration dashboard and providing valuable feedback on how to make it better! ,Token Engineering Commons,Aug-01-2021,🙏｜praise
Mount Manu#3530,griff#3281,@Mount Manu for taking on user testing with such gusto! ,Token Engineering Commons,Aug-02-2021,🤖｜parameters
Vitor Marthendal#0090,griff#3281,@Vitor Marthendal for hacking with me in Sunday into the night on the python backend for the dashboard it's looking amazing!!! ,Token Engineering Commons,Aug-02-2021,🤖｜parameters
Nuggan#5183,griff#3281,@Vitor Marthendal for hacking with me in Sunday into the night on the python backend for the dashboard it's looking amazing!!! ,Token Engineering Commons,Aug-02-2021,🤖｜parameters
divine_comedian#5493,griff#3281,for the awesome work on the film prototypes... omg it's going to be so cool to educate the TE Commons community and many communities to come!! ,Token Engineering Commons,Aug-02-2021,🤖｜parameters
markop#2007,griff#3281,for the awesome work on the film prototypes... omg it's going to be so cool to educate the TE Commons community and many communities to come!! ,Token Engineering Commons,Aug-02-2021,🤖｜parameters
iviangita#3204,Zeptimus#3359,@Dan Knobelsdorf.eth @Mount Manu for joining the transparency call and participate with great feedback!!⚡ ,Token Engineering Commons,Aug-02-2021,🙏｜praise
Juankbell#7458,Zeptimus#3359,@Dan Knobelsdorf.eth @Mount Manu for joining the transparency call and participate with great feedback!!⚡ ,Token Engineering Commons,Aug-02-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,Zeptimus#3359,@Dan Knobelsdorf.eth @Mount Manu for joining the transparency call and participate with great feedback!!⚡ ,Token Engineering Commons,Aug-02-2021,🙏｜praise
Mount Manu#3530,Zeptimus#3359,@Dan Knobelsdorf.eth @Mount Manu for joining the transparency call and participate with great feedback!!⚡ ,Token Engineering Commons,Aug-02-2021,🙏｜praise
Zeptimus#3359,Zeptimus#3359,@Dan Knobelsdorf.eth @Mount Manu for joining the transparency call and participate with great feedback!!⚡ ,Token Engineering Commons,Aug-02-2021,🙏｜praise
griff#3281,liviade#1387,for sharing relevant resources in Soft Gov! 🙌 ,Token Engineering Commons,Aug-02-2021,🙏｜praise
griff#3281,iviangita#3204,for the latest Hatch memes! Very useful in our Twitter content 🙏🏼 😊 ,Token Engineering Commons,Aug-02-2021,🙏｜praise
Kris#8703,iviangita#3204,for the latest Hatch memes! Very useful in our Twitter content 🙏🏼 😊 ,Token Engineering Commons,Aug-02-2021,🙏｜praise
OddName#8763,griff#3281,for writing about the TEC in a french book! Wow! ,Token Engineering Commons,Aug-02-2021,🙏｜praise
Zeptimus#3359,acidlazzer#5796,for his help with the administration of the TEC YouTube channel 😋 ,Token Engineering Commons,Aug-02-2021,🙏｜praise
acidlazzer#5796,Zeptimus#3359,for update our thumbnail on youtube i logged ik now and its looking great! ,Token Engineering Commons,Aug-02-2021,🙏｜praise
Anna-Marie.Swan#8824,liviade#1387,for sharing her constructive criticism and helping so much to identify points that need to be improved in our org dev 🙏 ,Token Engineering Commons,Aug-03-2021,🙏｜praise
Zeptimus#3359,liviade#1387,for taking the leadership on improving our communication and coherence of the advice process ,Token Engineering Commons,Aug-03-2021,🙏｜praise
santigs#9769,griff#3281,for minting the NFTs and pushing forward the idea... these look so cool: https://v2.unique.one/token/3f17bd14-4d1d-4f87-a039-952f8b024d25/0xc9D1B08bdD82B0a0E59Bd8675CF4Ef880E5e11db ,Token Engineering Commons,Aug-03-2021,🙏｜praise
santigs#9769,griff#3281,@sem  🐝 for helping to make the NFTs happen for the hatch ,Token Engineering Commons,Aug-03-2021,🙏｜praise
sem  🐝#0161,griff#3281,@sem  🐝 for helping to make the NFTs happen for the hatch ,Token Engineering Commons,Aug-03-2021,🙏｜praise
fabiomendes#4802,griff#3281,@sem  🐝 for helping to make the NFTs happen for the hatch ,Token Engineering Commons,Aug-03-2021,🙏｜praise
Kris#8703,griff#3281,@sem  🐝 for helping to make the NFTs happen for the hatch ,Token Engineering Commons,Aug-03-2021,🙏｜praise
geleeroyale#3228,griff#3281,@sem  🐝 for helping to make the NFTs happen for the hatch ,Token Engineering Commons,Aug-03-2021,🙏｜praise
Zeptimus#3359,griff#3281,for testing the hatch in an emergency spot ,Token Engineering Commons,Aug-03-2021,🙏｜praise
sem  🐝#0161,griff#3281,@sem  🐝 for being so responsive on maintaining the xDai RPCs ,Token Engineering Commons,Aug-03-2021,🙏｜praise
elessar.eth#7945,sem  🐝#0161,for helping as well in the NFT page ,Token Engineering Commons,Aug-03-2021,🙏｜praise
chuygarcia92#6692,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
iviangita#3204,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
Mount Manu#3530,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
natesuits#4789,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
Zeptimus#3359,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
eduardovegap#0422,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
David (please DYOR...)#4116,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
santigs#9769,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
acidlazzer#5796,chuygarcia92#6692,"@Mount Manu @Dan Knobelsdorf.eth @David (please DYOR...) for attending the comms weekly wg, missed all of you tons 🥲 ",Token Engineering Commons,Aug-03-2021,🙏｜praise
markop#2007,santigs#9769,for helping with the Hatch NFT page design ,Token Engineering Commons,Aug-03-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for creating the Hatch tutorial and bridge videos 🙌 ,Token Engineering Commons,Aug-03-2021,🙏｜praise
Suga#8514,iviangita#3204,for the latest TEC News ,Token Engineering Commons,Aug-04-2021,🙏｜praise
AmwFund#0979,Mount Manu#3530,for devoting 20 minutes to going through our Commons configuration dashboard AND Python Model and providing valuable feedback on how to make it better! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for his expedience and patience in answering all my questions regarding user testing / Figma graph functionality! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
Juankbell#7458,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
natesuits#4789,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
Mount Manu#3530,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
Tam2140#9361,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
chuygarcia92#6692,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
Zeptimus#3359,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
Dan Knobelsdorf.eth#0326,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
eduardovegap#0422,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
mateodaza#3156,liviade#1387,@Mount Manu @Dan Knobelsdorf.eth for joining soft gov yesterday and sharing very important insights! ,Token Engineering Commons,Aug-04-2021,🙏｜praise
liviade#1387,Anna-Marie.Swan#8824,"for how comfortable holding up and exploring certain aspects of the TEC's systems and dynamics might affect all of us, and the amount of reflection she'd already given to how to make key changes going fowards ",Token Engineering Commons,Aug-04-2021,🙏｜praise
Juankbell#7458,Anna-Marie.Swan#8824,for their awesome suggestions and reflections on my guest blog post. It's being whipped into shape! ,Commons Stack,Aug-04-2021,🙌praise
Kris#8703,Anna-Marie.Swan#8824,for their awesome suggestions and reflections on my guest blog post. It's being whipped into shape! ,Commons Stack,Aug-04-2021,🙌praise
taxil#8577,Anna-Marie.Swan#8824,for their awesome suggestions and reflections on my guest blog post. It's being whipped into shape! ,Commons Stack,Aug-04-2021,🙌praise
JeffEmmett#7202,Anna-Marie.Swan#8824,for their awesome suggestions and reflections on my guest blog post. It's being whipped into shape! ,Commons Stack,Aug-04-2021,🙌praise
liviade#1387,Zeptimus#3359, for being an exceptional leader!! and explain how to proceed in the advice process ,Token Engineering Commons,Aug-04-2021,🙏｜praise
Suga#8514,Anna-Marie.Swan#8824,"for getting out the newsletter when there's been a huge fire in the area, she had nowhere to stay, and she's on holiday with her family, and for making sure the AMA was covered. Above and beyond! ",Token Engineering Commons,Aug-04-2021,🙏｜praise
Mount Manu#3530,chuygarcia92#6692,"@Mount Manu for taking the time to go over some of the commons upgrade parameters i hadn't gotten yet and also his valuable advice on mental health, ty buddy! ",Token Engineering Commons,Aug-04-2021,🙏｜praise
Suga#8514,Anna-Marie.Swan#8824,Congrats on becoming a steward! You will be a wonderful steward. ,Token Engineering Commons,Aug-04-2021,🙏｜praise
