,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
164,164,speak confer last week,for speaking at the conferences last week,17.5,liviade#1387,2021-07-28T22:00:00.000Z,
167,167,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,29.67,JeffEmmett#7202,2021-07-15T22:00:00.000Z,
168,168,visit suga’ hous,for visiting Suga’s house,1.13,DanKnobelsdorf#0326,2021-07-30T22:00:00.000Z,
170,170,one coher peopl met life around belief way behav,for being one of the most coherent people i've met in my life around his beliefs and the way he behaves,43.67,"sem(🌸,🐝)#0161",2021-07-14T22:00:00.000Z,
172,172,night stay listen music chuy,for that night they stayed up listening to music with Chuy,2.13,DanKnobelsdorf#0326,2021-07-30T22:00:00.000Z,
176,176,risk live come ethcc pari,for risking their lives to come to EthCC in Paris,16.0,kristofer#1475,2021-07-30T22:00:00.000Z,
177,177,juan’ amaz roommat,for being Juan’s amazing roommates,2.47,DanKnobelsdorf#0326,2021-07-30T22:00:00.000Z,
180,180,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,12.0,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
182,182,best burger outfit ever,for the best burger outfit ever,12.0,divine_comedian#5493,2021-07-28T22:00:00.000Z,
183,183,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,15.0,Ekeneodigwe#1502,2021-07-15T22:00:00.000Z,
185,185,risk live come ethcc pari,for risking their lives to come to EthCC in Paris,16.67,chuygarcia.eth#6692,2021-07-30T22:00:00.000Z,
186,186,heart heart convers,for the heart-to-heart conversations,14.0,liviade#1387,2021-07-30T22:00:00.000Z,
190,190,let teach drive way ethcc,for letting me teach him how to drive on our way to ETHCC,15.0,mateodaza#3156,2021-07-18T22:00:00.000Z,
193,193,look tec fam keep everybodi healthi,for looking after the TEC fam and keeping everybody healthy,2.4,Tam2140#9361,2021-07-30T22:00:00.000Z,
196,196,help set tec snapshot ,for helping me set up the TEC snapshot!,15.0,mateodaza#3156,2021-07-26T22:00:00.000Z,
