name,address,vested_amount
acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,7.864306788
daithi,,4.254853533
bends,0x1E975f53956d644868F3eA25690b1bbEda658565,4.244956551
witwiki,,4.28720214
patriacaelum,,4.152350757
famole,,4.042715577
sbilbao,,3.90920892
enti,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,3.804720645
drllau,,4.861282407
hbesso31,,3.48945942
knobsdao,0x301605C95acbED7A1fD9C2c0DeEe964e2AFBd0C3,3.448733385
mrmadila,,3.422118234
freshelle,0x38f80f8f76B1C44B2beeFB63bb561F570fb6ddB6,3.356531796
zhiwei,0x1f83A7b86480E6142A85558Ef6999f6091041906,3.264340002
mcsmith89,0x95660B8f62B6372bb8A821872BF957922dE1fe89,3.25475874
0xgabi,,3.117981468
bradleyc,,3.08644602
thefredo1000,0x29FFeBCa51ecD940cb37EF91ff83cD739553b93e,2.977884352
philh,0xAa01DeC5307CF17F20881A3286dcaA062578cea7,3.714133131
felixbbertrand,,2.950561793
monstrosity,,2.898943448
gabi,,2.827486586
mertozdal,0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff,3.335158983
santteegt,0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,2.715584685
thelastjosh,,2.690182682
andrewpenland,0x77d40c87D423eFb7ec576e80998A48377Adf86dF,2.669526647
kzflyer,0x343EF442adD9bd565D51b606f444F9221AD0Aeb6,3.37089249
carlgocht,,2.589358893
geleeroyale,0x701d0ECB3BA780De7b2b36789aEC4493A426010a,2.303926096
mettodo,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,2.43551411
credbot,,2.134163084
bear100,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,2.076522409
system,,1.98160613
bustavo,,2.238363559
phil,,1.941218022
foxdao,,1.907411066
shermin,,1.877655886
charliex,,1.781820481
porobov-p,,1.744616447
evo,,1.680795629
paul2,0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,1.616699416
lkngtn,,1.60730306
zer8,0x8758E5741dE847363dD2715a62431cc0cBda4cA6,1.587043224
markatwork1,,1.525609806
eeli,,1.519171699
tinahaibodi,,1.502985869
costa91,0x741670C5085Da689944FAA9543E9aB610a00A06d,1.494698725
zarmarquez,,1.976133666
drat3,,1.405273926
twells,,1.391203823
trentmc0,,1.381080043
sichen,,1.316680612
maxk,,1.27346384
paula,,1.268614188
bhargavkakadiya,,1.244928466
vagpap,,1.238281023
manuelmaccou,,1.208632004
nic,0x88B353202e61fffeF56bbfbc2748839e7C707e9F,1.17803579
dependabot,,1.15782337
renovate,,1.12189888
regencrypto,,1.088371495
klingefjord,,1.012415675
getvested,,1.012415675
jeverettnichol,,1.012415675
vessenes,,1.006253407
fioreb,,0.995319927
jme,0x6814A5e9D556C834Aec5293ed80748CD0F58bd14,0.9628641357
lescanore,,0.9625694226
vic,,0.9571315989
theode69,,0.9529337196
taz,,0.9451249806
renovate-bot,,0.9247710333
decentralizesdgs,,0.8990952444
merlin,,0.8971044501
twell-s,,0.8867476146
teresacd11,,0.855186075
jh-onchain,,0.789798981
randomshinichi,,0.7896856215
singularityhacker,,0.7419058098
moatazar,,0.7398168267
rex,,0.7337176704
willyogo,,0.7328790684
shbrennan,,0.7116667782
onbjerg,,0.7116667782
vasilysumanov,,0.6861536022
eenti,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,0.6784481676
gijsio,,0.6617360832
danlessa,0x62e4851e88bEC4f5c5EE3Dd347F2C601A18AF1aF,0.6493907211
greenhornet,,0.6252425184
stef,0xB1A1225BCf9408f4a8C980F1858734ECb0d537b9,0.6059889444
bpierre,,0.5835114675
sidcode,0xd0ef3a2Ae7Fb496C0897400f1be46693B6183B0a,0.5681497755
neilkt,,0.5584823868
lbs,0x328713d71cE23228D35263cA760984753D08BB59,0.5488349112
ionneto,,0.5475813834
cleanapp,,0.5461308879
cryptographr,,0.535620033
pinkhoodie,,0.5335409868
befitsandpiper,,0.5335407711
kisgus,,0.5335407711
gconnect,,0.5335407711
brymut,,0.5335407711
cedrickxyz,,0.5335407711
github-actions,,0.5222529012
bearhub100,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,0.5095150053
clara-zi,,0.5033605605
baartch,,0.4990953093
haxelax,,0.4981696278
boonjue,0xEf0391ccbebf15fc84334D9630255093754cDAAB,0.496480242
raul,,0.4932886668
catall,,0.4803310581
lexbirdie,,0.4774208592
tuath,,0.4678302438
crazykay,,0.4545218049
razga,,0.4525474341
saunic,0x88B353202e61fffeF56bbfbc2748839e7C707e9F,0.4459267197
ashleymaas,,0.4312876887
satorid,0xeE9f5aB4faeCBe30012f675Bb938031BC51bB49B,0.430864602
mquellhorst,,0.4299059865
wkarshat,,0.4295508549
papa-raw,0xC4d9d1a93068d311Ab18E988244123430eB4F1CD,0.4133547801
paulhaas,,0.8086544085
rubenr,,0.3958863696
mattyjee,0x182312C44a219fD492F3aE177D11120a3CcD2EF3,0.3954509022
paparaw,,0.3952287519
gcf,,0.3831014253
efra,0x438cDDcc8E6f0E0E18CE33F6b5a8fFCFAb5A999c,0.374566134
angelakte,,0.3703643871
emjicy,,0.3699084135
pacobacpac,,0.3666271362
bvalosek,,0.3556938474
aanunez,,0.3556938474
richa,,0.3481813524
pab,,0.3473823387
csggene3,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,0.3454353768
block007,,0.3412744026
ratio,,0.3272519421
curlybracketeffect,,0.3224309574
luisotravez,,0.3190082733
xm3van,,0.2896713909
kant,,0.2871088309
johannsuarez,,0.2840657338
jasontphelps,,0.2835379241
c0mput3rxz,,0.2766336134
teamyonks,,0.2756253309
ataberkcasur,,0.270702575
t-rossi,,0.2656443503
domik20,,0.2655960765
maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,0.2632321364
dekanbro,,0.2605979369
marcodarko1,,0.2605979369
donkarabi,,0.2584626138
andy-hook,,0.2572268099
0xddde,,0.2556268391
farty,,0.2413480666
zion-code,,0.2398163092
harthor,,0.2348832454
sohkai,,0.2243965935
michael-a-heuer,,0.2111824012
prohg,,0.2104480883
ekeneodigwe,,0.2028228211
danibelle,,0.1914515848
danielo,,0.1803145767
ishanjain28,,0.1778469237
wirjo,,0.1778469237
seb-ethmonk,,0.1778469237
0xmodene,,0.1778469237
kristofernoaccess,0xa32aECda752cF4EF89956e83d60C04835d4FA867,0.1778469237
fabianschu,,0.1778469237
murphy,,0.1778469237
sepandhaghighi,,0.1778469237
erichdylus,,0.1778469237
p-murli,,0.1778469237
a-jwc,,0.1778469237
georgesmith9914,,0.1778469237
panteo92,,0.1778469237
brandoniles,,0.1778469237
manualzuru,,0.174098965
biancagadelha,0x1375847014BA64517210cBFE185808232Cf45d4a,0.1609900446
mayasierra,,0.1329825371
roveneliah,,0.1131725842
kelsien,,0.1103318856
fobey123,,0.1064642068
tiberiusb,,0.1053571317
marc,,0.1027156589
guccukudo,,0.1011659499
maindefi,,0.1003344056
unclebimbim,,0.09957687723
tony888,,0.09888932028
anatech,,0.09677150349
rohekbenitez,0x6C965b656C450259a6D4d95A2E68Fb4319EecBc0,0.09201451341
phacker3,,0.0915326817
radical-sociologist,,0.09123735705
joshuavial,,0.0610384695
patriciatea,0x9F6b969Ee3F9C2b0a528b3029049e34BBD4bdB49,0.05548655085
