,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
244,244,set foundat hubspot,for setting up the foundation for Hubspot,12.33,chuygarcia.eth#6692,2021-08-26T22:00:00.000Z,
248,248,continu improv graviti comm process 🙂 infograph look realli great ,for continuing to improve the Gravity comms for our processes 🙂 this infographics look really great!,2.13,acidlazzer#5796,2021-08-08T22:00:00.000Z,
249,249,develop ninja,for being our developer ninjas,15.0,VitorNunes#0090,2021-08-26T22:00:00.000Z,
253,253,guid zenhub also explain lot tec info ,for guiding me through Zenhub and also explaining a lot of TEC info .,12.33,iviangita#3204,2021-08-19T22:00:00.000Z,
255,255,new member role tag discord use simpl stop appreci ,"for the new member role tag on Discord. It's so useful and simple, I can't stop appreciating it!",9.67,Vyvy-vi#5040,2021-08-16T22:00:00.000Z,
265,265,turn tam onto darkforc,for turning Tam onto Darkforce,10.67,Kris#8703,2021-08-19T22:00:00.000Z,
268,268,invit new contributor collabor tec agreement awesom commun weav ,for inviting new contributors to collaborate with her in the TEC agreements! awesome community weaving!!,9.0,anna-marie#8824,2021-08-23T22:00:00.000Z,
269,269,alway loop everyth even can’t us isn’t feel well,for being always in the loop of everything even he can’t be with us because he isn’t feeling well,10.67,mateodaza#3156,2021-08-19T22:00:00.000Z,
271,271,great meme,for all the great memes,3.37,karmaticacid#1218,2021-08-12T22:00:00.000Z,
275,275,poap distribut magic conjur 🪄,for the POAP distribution magic they conjured 🪄,9.67,Nuggan#5183,2021-08-19T22:00:00.000Z,
276,276,gather kick meet tec agreement,for gathering for kick-off meeting for the TEC agreements,9.0,ALOYSIOUS#3049,2021-08-26T22:00:00.000Z,
277,277,meet amaz realli 🦸🏻,"for being in all the meetings (which is amazing, really) 🦸🏻",12.33,Zeptimus#3359,2021-08-19T22:00:00.000Z,
278,278,initi orient,for the initiatives in the orientation,8.7,anna-marie#8824,2021-08-26T22:00:00.000Z,
280,280,orient stuff,for orientation stuff,3.37,anna-marie#8824,2021-08-26T22:00:00.000Z,
285,285,alway present avail even he’ busi,for being always present and available even he’s busy,9.67,natesuits#4789,2021-08-26T22:00:00.000Z,
286,286,initi buy propos abc,for their Initial Buy proposal for the ABC,6.03,Tam2140#9361,2021-08-26T22:00:00.000Z,
288,288,review forum post credenti manag process,for reviewing the forum post for credentials management process,13.0,Mount Manu#3530,2021-08-15T22:00:00.000Z,
290,290,draft coven document ,for drafting the covenant document.,13.0,liviade#1387,2021-08-12T22:00:00.000Z,
292,292,post propos hatch dao,for posting proposals for Hatch DAO,8.93,Juankbell#7458,2021-08-26T22:00:00.000Z,
298,298,  hatcher outreach,for doing the 1-1 for Hatchers Outreach,9.1,"griff (💜, 💜)#8888",2021-08-12T22:00:00.000Z,
299,299,time get involv dashboard,for their time getting involved in the dashboard,4.03,divine_comedian#5493,2021-08-26T22:00:00.000Z,
300,300,fix sourcecr verif bot server could jump start look amaz thing happen sc world ,for fixing the SourceCred verification bot in their server so I could jump in and start looking into the amazing things happening in the SC world :)),15.67,Jolie_Ze#0295,2021-08-18T22:00:00.000Z,
302,302,organ nft,for organizing NFTs,8.93,santigs#9769,2021-08-12T22:00:00.000Z,
303,303,keep bird’ eye view take care everyon,for keeping a bird’s eye view and taking care of everyone,10.33,Tam2140#9361,2021-08-26T22:00:00.000Z,
307,307,excit proactiv collabor tec sourcecr improv ,for being excited and proactive to collaborate on TEC sourcecred improvements!,10.33,mateodaza#3156,2021-08-23T22:00:00.000Z,
310,310,common config dashboard stuff,for all the commons config dashboard stuff,5.2,markop#2007,2021-08-26T22:00:00.000Z,
314,314,poap collect want miss second graviton train swag go ,for this POAP collection you won't want to miss!!! The second Graviton training has its own swag going on!,15.67,acidlazzer#5796,2021-08-25T22:00:00.000Z,
316,316,take one time chang tech address initi buy bond curv propos realli dive hatch govern,for taking on the One-Time Change of TECH Address and Initial Buy into the Bonding Curve proposals and really diving into Hatch governance,10.33,Tam2140#9361,2021-08-26T22:00:00.000Z,
317,317,show talk public good tec collabecon,"for having me on her show to talk about Public Goods, the TEC and CollabEcon",11.33,Lisa JY Tan#3350,2021-08-07T22:00:00.000Z,
322,322,impress construct call commun build ,for that impressively constructive call on community building!,4.03,anna-marie#8824,2021-08-24T22:00:00.000Z,
325,325,common config dashboard stuff,for all the commons config dashboard stuff,3.07,divine_comedian#5493,2021-08-26T22:00:00.000Z,
328,328,review code mount manu user feedback proactiv search collabor possibl,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,11.33,karmaticacid#1218,2021-08-04T22:00:00.000Z,
331,331,slay forum post ✍🏻,for slaying with the forum posts ✍🏻,11.33,karmaticacid#1218,2021-08-05T22:00:00.000Z,
332,332,slay forum post ✍🏻,for slaying with the forum posts ✍🏻,11.5,natesuits#4789,2021-08-05T22:00:00.000Z,
333,333,slay forum post ✍🏻,for slaying with the forum posts ✍🏻,13.0,Mount Manu#3530,2021-08-05T22:00:00.000Z,
334,334,repres te common cryptocommonsgath  http www crypto common org ccg ,for representing TE Commons at the CryptoCommonsGathering 2021 https://www.crypto-commons.org/ccg-21,13.0,JeffEmmett#7202,2021-08-29T22:00:00.000Z,
341,341,facilit gitbook medium access peopl,for facilitating GitBook and Medium access to all the people,13.0,natesuits#4789,2021-08-05T22:00:00.000Z,
342,342,respons maintain xdai rpc,for being so responsive on maintaining the xDai RPCs,14.0,"sem(🌸,🐝)#0161",2021-08-02T22:00:00.000Z,
344,344,rock tec role document ,for rocking the TEC roles document!,14.0,ZER8🧠#9093,2021-08-17T22:00:00.000Z,
354,354,push common config dashboard post nice link direct peopl,for pushing out commons config dashboard post just so we have a nice link to direct people to,7.7,divine_comedian#5493,2021-08-26T22:00:00.000Z,
356,356,take dashboard great plan,for taking on the dashboard and doing such a great plan for having it out,14.0,VitorNunes#0090,2021-08-19T22:00:00.000Z,
357,357,amaz poster hatch outreach ❤️,for doing an amazing poster for Hatch Outreach ❤️,3.8,acidlazzer#5796,2021-08-15T22:00:00.000Z,
364,364,build ccd 🦾,for building the CCD! 🦾,19.47,pKrepe#5682,2021-08-19T22:00:00.000Z,
380,380,awesom present governaut ,for her awesome presentation of the Governauts!,25.33,akrtws (TE Academy)#4246,2021-08-18T22:00:00.000Z,
381,381,hatcher outreach,for doing hatchers outreach,5.3,eduardovegap#0422,2021-08-12T22:00:00.000Z,
382,382,hatcher outreach,for doing hatchers outreach,11.6,Zeptimus#3359,2021-08-12T22:00:00.000Z,
390,390,common config dashboard stuff,for all the commons config dashboard stuff,12.33,"griff (💜, 💜)#8888",2021-08-26T22:00:00.000Z,
392,392,prais lot,for praising a lot,4.33,iviangita#3204,2021-08-12T22:00:00.000Z,
400,400,throw bangin farewel groovi set 🎵 ,for throwing down a bangin' farewell-groovy set.     :/  🎵    :/,5.67,Vyvy-vi#5040,2021-08-27T22:00:00.000Z,
402,402,great project manag,for being such a great project manager,7.33,Tam2140#9361,2021-08-19T22:00:00.000Z,
403,403,repres te common cryptocommonsgath  http www crypto common org ccg ,for representing TE Commons at the CryptoCommonsGathering 2021 https://www.crypto-commons.org/ccg-21,6.33,"griff (💜, 💜)#8888",2021-08-29T22:00:00.000Z,
405,405,repres te common cryptocommonsgath  http www crypto common org ccg ,for representing TE Commons at the CryptoCommonsGathering 2021 https://www.crypto-commons.org/ccg-21,6.33,DanKnobelsdorf#0326,2021-08-29T22:00:00.000Z,
410,410,great meme week ,for the great memes this week!,5.67,Kris#8703,2021-08-26T22:00:00.000Z,
413,413,follow idea breadcrumb realli cool place pleasur 🙂,for following our idea breadcrumbs to a really cool place! What a pleasure 🙂,7.33,eduardovegap#0422,2021-08-24T22:00:00.000Z,
418,418,stay giveth hous keep clean like found ,"for staying in the Giveth house (and keeping it clean, just like they found it)",7.33,"sem(🌸,🐝)#0161",2021-08-05T22:00:00.000Z,
421,421,fast updat youtub thumbnail,for being so fast in updating the Youtube thumbnails,1.2,acidlazzer#5796,2021-08-12T22:00:00.000Z,
423,423,feedback initi buy propos take ownership dashboard,for the feedback on the Initial Buy proposal and taking ownership of the dashboard,7.33,divine_comedian#5493,2021-08-26T22:00:00.000Z,
424,424,contribut within tec swag,for all her contributions within TEC swag,6.33,iviangita#3204,2021-08-19T22:00:00.000Z,
428,428,return vacat,for returning from vacation,5.67,chuygarcia.eth#6692,2021-08-26T22:00:00.000Z,
429,429,record prais,for recording praise,6.33,iviangita#3204,2021-08-18T22:00:00.000Z,
430,430,amaz talk pari 👩🏻‍🏫,for their amazing talks in Paris! 👩🏻‍🏫,4.93,Tam2140#9361,2021-08-19T22:00:00.000Z,
433,433,great contribut comm,for their great contributions to Comms,4.8,Mount Manu#3530,2021-08-12T22:00:00.000Z,
438,438,great meme,for all the great memes,9.0,chuygarcia.eth#6692,2021-08-12T22:00:00.000Z,
439,439,great meme,for all the great memes,5.67,Kris#8703,2021-08-12T22:00:00.000Z,
440,440,take break   mt manu,for taking a break and for the 1-1 with Mt Manu,6.33,chuygarcia.eth#6692,2021-08-12T22:00:00.000Z,
441,441,take well deserv time,for taking some well deserved time off,5.67,chuygarcia.eth#6692,2021-08-16T22:00:00.000Z,
445,445,initi comm 💪🏻,for their initiative in Comms 💪🏻,7.33,David (please DYOR...)#4116,2021-08-05T22:00:00.000Z,
446,446,take vacat,for taking vacations,4.93,chuygarcia.eth#6692,2021-08-12T22:00:00.000Z,
449,449,excit proactiv collabor tec sourcecr improv ,for being excited and proactive to collaborate on TEC sourcecred improvements!,7.0,Jolie_Ze#0295,2021-08-23T22:00:00.000Z,
452,452,updat thumbnail youtub log ik look great ,for update our thumbnail on youtube i logged ik now and its looking great!,6.33,acidlazzer#5796,2021-08-01T22:00:00.000Z,
455,455,nice vacat come back deal issu swag shop,for having a nice vacation and coming back dealing with some issues in the swag shops,8.0,kristofer#1475,2021-08-26T22:00:00.000Z,
458,458,feedback common configur dashboard 🙏🏻,for his feedback on our Commons configuration dashboard! 🙏🏻,8.0,Caeser (PST)#0046,2021-08-18T22:00:00.000Z,
465,465,contribut comm,for all of their contributions in comms,7.0,David (please DYOR...)#4116,2021-08-26T22:00:00.000Z,
467,467,prais transcript 👫,for ONCE AGAIN doing praise transcription with me 👫,9.67,iviangita#3204,2021-08-05T22:00:00.000Z,
469,469,push reward system forward 🏆,for pushing on the reward system forward 🏆,8.0,liviade#1387,2021-08-19T22:00:00.000Z,
470,470,lure gideon ethcc present 👨🏻‍🏫,for luring Gideon in with his ETHCC presentation 👨🏻‍🏫,8.0,"griff (💜, 💜)#8888",2021-08-05T22:00:00.000Z,
476,476,contribut tec hatch next post,for contributing to the TEC hatch what's next post,8.0,Suga#8514,2021-08-25T22:00:00.000Z,
478,478,fun hatch meme,for the fun Hatch memes,6.33,Kris#8703,2021-08-12T22:00:00.000Z,
481,481,gather kick meet tec agreement,for gathering for kick-off meeting for the TEC agreements,6.33,innov8tor3#3988,2021-08-26T22:00:00.000Z,
483,483,contribut comm 📡,for their contributions in Comms 📡,8.0,Mount Manu#3530,2021-08-19T22:00:00.000Z,
484,484,contribut comm 📡,for their contributions in Comms 📡,8.0,David (please DYOR...)#4116,2021-08-19T22:00:00.000Z,
487,487,reach soft commit hatcher,for reaching out to soft-commit Hatchers,8.0,eduardovegap#0422,2021-08-05T22:00:00.000Z,
488,488,facilit gitbook medium access peopl,for facilitating GitBook and Medium access to all the people,7.0,liviade#1387,2021-08-05T22:00:00.000Z,
493,493,collabor lauren hatch blog post,for collaborating with Lauren on the Hatch blog post,8.0,natesuits#4789,2021-08-26T22:00:00.000Z,
494,494,energi power peopl around,for your energy that powers all the people around you,7.0,"griff (💜, 💜)#8888",2021-08-19T22:00:00.000Z,
495,495,hold fort suga loop,for holding down the fort for Suga when she was out of the loop,7.0,anna-marie#8824,2021-08-12T22:00:00.000Z,
497,497,governaut research project,for the governauts research project,8.0,JeffEmmett#7202,2021-08-12T22:00:00.000Z,
499,499,hold fort suga loop,for holding down the fort for Suga when she was out of the loop,7.0,Vyvy-vi#5040,2021-08-12T22:00:00.000Z,
500,500,tip groovi bot replac,for the tip on a groovy bot replacement,6.33,WhyldWanderer#7002,2021-08-24T22:00:00.000Z,
504,504,awesom hatch meme,for awesome hatch memes,6.33,Kris#8703,2021-08-11T22:00:00.000Z,
505,505,come strong tec upgrad comm plan,for coming so strong with TEC upgrade comms plan,15.67,chuygarcia.eth#6692,2021-08-26T22:00:00.000Z,
509,509,constantli great job spotlight section,for constantly doing a great job on the Spotlight section,15.67,natesuits#4789,2021-08-19T22:00:00.000Z,
510,510,take product ownership role dashboard even though didn’t mean,for taking on the product ownership role for the dashboard even though he didn’t mean to but he just did,12.03,divine_comedian#5493,2021-08-26T22:00:00.000Z,
514,514,warm welcom new commer ,for the warm welcoming to the new commers!!,10.33,natesuits#4789,2021-08-25T22:00:00.000Z,
519,519,develop ninja,for being our developer ninjas,18.33,pKrepe#5682,2021-08-26T22:00:00.000Z,
522,522,impress construct call commun build ,for that impressively constructive call on community building!,7.67,eduardovegap#0422,2021-08-24T22:00:00.000Z,
526,526,contribut tec hatch next post,for contributing to the TEC hatch what's next post,5.33,karmaticacid#1218,2021-08-25T22:00:00.000Z,
527,527,get acidlazz involv project week,for getting acidlazzer involved in their projects this week,8.67,karmaticacid#1218,2021-08-26T22:00:00.000Z,
529,529,warm welcom new commer ,for the warm welcoming to the new commers!!,7.67,Suga#8514,2021-08-25T22:00:00.000Z,
530,530,nd graviton train includ new implement upgrad vs st train 👨🏻‍🚀,for the 2nd Graviton training (including new implementations and upgrades vs the 1st training) 👨🏻‍🚀,9.37,Juankbell#7458,2021-08-19T22:00:00.000Z,
533,533,agre coordin tam two hatchdao propos,for agreeing to coordinate with Tam on two HatchDAO proposals,8.67,Zeptimus#3359,2021-08-19T22:00:00.000Z,
535,535,take vacat,for taking vacations,3.0,Tam2140#9361,2021-08-12T22:00:00.000Z,
536,536,take well deserv vacat holiday,for taking a well-deserved vacation and holidays,3.0,Tam2140#9361,2021-08-05T22:00:00.000Z,
539,539,repres te common cryptocommonsgath  http www crypto common org ccg ,for representing TE Commons at the CryptoCommonsGathering 2021 https://www.crypto-commons.org/ccg-21,18.33,akrtws (TE Academy)#4246,2021-08-29T22:00:00.000Z,
541,541,hatcher outreach,for doing hatchers outreach,7.67,"griff (💜, 💜)#8888",2021-08-12T22:00:00.000Z,
542,542,time get involv dashboard,for their time getting involved in the dashboard,8.67,karmaticacid#1218,2021-08-26T22:00:00.000Z,
543,543,hold fort suga loop,for holding down the fort for Suga when she was out of the loop,7.67,liviade#1387,2021-08-12T22:00:00.000Z,
551,551,back commun call video,for backing up the Community Call video,7.67,Juankbell#7458,2021-08-12T22:00:00.000Z,
552,552,prepar advic process slide 🌞,for prepare the advice process slide 🌞,8.67,Juankbell#7458,2021-08-04T22:00:00.000Z,
553,553,review code mount manu user feedback proactiv search collabor possibl,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,15.67,Mount Manu#3530,2021-08-04T22:00:00.000Z,
557,557,spearhead inclus initi,for spearheading the inclusion initiatives,7.67,anna-marie#8824,2021-08-12T22:00:00.000Z,
559,559,outdoor,for being outdoors,3.67,ygg_anderson#4998,2021-08-12T22:00:00.000Z,
561,561,propos forum,for their proposals in the forum,7.43,Zeptimus#3359,2021-08-26T22:00:00.000Z,
562,562,stay giveth hous keep clean like found ,"for staying in the Giveth house (and keeping it clean, just like they found it)",4.33,Zeptimus#3359,2021-08-05T22:00:00.000Z,
563,563,product   sync chuy 👌🏻,for a very productive 1-on-1 sync with Chuy 👌🏻,10.33,Mount Manu#3530,2021-08-05T22:00:00.000Z,
564,564,give santi ride back home ethcc parti 🎠,for giving Santi a ride back home after an ETHCC party 🎠,7.67,Tam2140#9361,2021-08-05T22:00:00.000Z,
566,566,reach soft commit hatcher,for reaching out to soft-commit Hatchers,7.67,DanKnobelsdorf#0326,2021-08-05T22:00:00.000Z,
567,567,much deserv vacat 🌞 😎 🏖️,for some much-deserved vacations! 🌞 😎 🏖️,8.67,chuygarcia.eth#6692,2021-08-05T22:00:00.000Z,
571,571,engag forum,for all the engagement in the forum,7.67,natesuits#4789,2021-08-26T22:00:00.000Z,
577,577,onboard inclus initi you’r take,for onboarding and all the inclusion initiatives you’re taking on,8.67,anna-marie#8824,2021-08-26T22:00:00.000Z,
578,578,great meme week ,for the great memes this week!,3.77,Nuggan#5183,2021-08-26T22:00:00.000Z,
579,579,set next cohort graviton,for setting up the next cohort of gravitons,6.43,Juankbell#7458,2021-08-26T22:00:00.000Z,
581,581,awesom hatch meme,for awesome hatch memes,7.67,Nuggan#5183,2021-08-11T22:00:00.000Z,
582,582,great contribut comm,for their great contributions to Comms,8.67,David (please DYOR...)#4116,2021-08-12T22:00:00.000Z,
584,584,awesom job tec aftermovi video ,for his awesome job with the TEC Aftermovie video!,18.33,chuygarcia.eth#6692,2021-08-04T22:00:00.000Z,
586,586,governaut research project,for the governauts research project,18.33,akrtws (TE Academy)#4246,2021-08-12T22:00:00.000Z,
592,592,prep graviton train,for all of the prep for the Graviton training,4.77,Juankbell#7458,2021-08-26T22:00:00.000Z,
596,596,post propos hatch dao,for posting proposals for Hatch DAO,7.43,Zeptimus#3359,2021-08-26T22:00:00.000Z,
597,597,review forum post credenti manag process,for reviewing the forum post for credentials management process,8.67,Zeptimus#3359,2021-08-15T22:00:00.000Z,
