ID,DATE,TO USER ACCOUNT,TO USER ACCOUNT ID,TO ETH ADDRESS,FROM USER ACCOUNT,FROM USER ACCOUNT ID,FROM ETH ADDRESS,REASON,SOURCE ID,SOURCE NAME,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 1 ETH ADDRESS,QUANTIFIER 2 USERNAME,QUANTIFIER 2 ETH ADDRESS,QUANTIFIER 3 USERNAME,QUANTIFIER 3 ETH ADDRESS,AVG SCORE,PERCENTAGE,TOKEN TO RECEIVE
621f79e243b89009366c8a41,2021-08-19T22:00:00.000Z,nathalia#0926,621f79db95a79aa51435d74d,,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for her support to the TE Academy and how much advancement they’ve been having lately,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,8,21,,,,False,False,False,innov8tor3#3988,0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253,Tamarandom#9361,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,12.33,0.0012659644482684623,4.732934686296473
621f79e243b89009366c8a42,2021-08-19T22:00:00.000Z,anna-marie#8824,621f79cf95a79aa51435b2c0,0x8041748a2A16e9B7A3980107f4376774421642c8,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for her support in the orientation calls,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,8,3,621f79e143b89009366c88c0,,,False,False,False,AmwFund#0979,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,4.1,0.00042096141426607427,1.5738063433751452
621f79e243b89009366c8a43,2021-08-19T22:00:00.000Z,natesuits#4789,621f79cf95a79aa51435b2f7,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for stepping up in so many fronts and doing amazing work,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,5,55,0,,,621f79e243b89009366c8a34,False,False,False,innov8tor3#3988,0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,calazki#3961,0xF48D4780a886900c263E72d475b1d8b0C7e5A987,20.27,0.0020811921627252013,7.780745019564438
621f79e243b89009366c8a44,2021-08-19T22:00:00.000Z,mateodaza#3156,621f79cf95a79aa51435b3ff,0x00d18ca9782bE1CaEF611017c2Fbc1a39779A57C,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for being always in the loop of everything even he can’t be with us because he isn’t feeling well,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,3,21,,,,False,False,False,PhilH#1102,0xAa01DeC5307CF17F20881A3286dcaA062578cea7,Tamarandom#9361,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,10.67,0.0010955264122485397,4.095735044832391
621f79e243b89009366c8a45,2021-08-19T22:00:00.000Z,DanKnobelsdorf#0326,621f79ce95a79aa51435b243,0x301605C95acbED7A1fD9C2c0DeEe964e2AFBd0C3,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for showing up to so many of our community calls and getting more involved in TEC,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,3,3,1,,,,False,False,False,teaci#6108,0x1bE3505328880F1f204c664d430a9d2817d9D4cc,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,2.33,0.0002392292915219398,0.8943826292839241
621f79e243b89009366c8a46,2021-08-19T22:00:00.000Z,liviade#1387,621f79ce95a79aa51435b227,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for ,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,0,0,,,,True,True,True,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,tigeroid#2951,0xd3898129d4acb0F8039b1B9D6367B236F1E6100f,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,0.0,0.0,0.0
621f79e243b89009366c8a47,2021-08-19T22:00:00.000Z,anna-marie#8824,621f79cf95a79aa51435b2c0,0x8041748a2A16e9B7A3980107f4376774421642c8,Mount Manu#3530,621f79cf95a79aa51435b361,0xa2ef65aEcecb83cd1bD3579A8669779099317952,for being on fire re: reading and commenting: it’s like you're everywhere! 🦸🏻‍♀️,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,8,3,,,,False,False,False,AmwFund#0979,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,6.33,0.0006499233542205489,2.429803452088944
621f79e243b89009366c8a48,2021-08-19T22:00:00.000Z,liviade#1387,621f79ce95a79aa51435b227,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,Mount Manu#3530,621f79cf95a79aa51435b361,0xa2ef65aEcecb83cd1bD3579A8669779099317952,for pushing on the reward system forward 🏆,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,8,3,,,,False,False,False,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,tigeroid#2951,0xd3898129d4acb0F8039b1B9D6367B236F1E6100f,Mettodo#7010,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,8.0,0.0008213881253972182,3.07084164561004
621f79e243b89009366c8a49,2021-08-19T22:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,621f79ce95a79aa51435b223,0x839395e20bbB182fa440d08F850E6c7A8f6F0780,Mount Manu#3530,621f79cf95a79aa51435b361,0xa2ef65aEcecb83cd1bD3579A8669779099317952,for sharing awesome tools that might be helpful for Transparency! 🛠️,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,5,5,,,,False,False,False,teaci#6108,0x1bE3505328880F1f204c664d430a9d2817d9D4cc,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,6.0,0.0006160410940479136,2.3031312342075294
621f79e243b89009366c8a4a,2021-08-19T22:00:00.000Z,Kris#8703,621f79ce95a79aa51435b212,0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,Mount Manu#3530,621f79cf95a79aa51435b361,0xa2ef65aEcecb83cd1bD3579A8669779099317952,for sharing awesome tools that might be helpful for Transparency! 🛠️,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,3,21,,,,False,False,False,teaci#6108,0x1bE3505328880F1f204c664d430a9d2817d9D4cc,Tamarandom#9361,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,12.33,0.0012659644482684623,4.732934686296473
621f79e243b89009366c8a4b,2021-08-19T22:00:00.000Z,solsista#5370,621f79d095a79aa51435b5e0,0x949Bba9F1C13F2461835366AEBcb53c852dd4308,Mount Manu#3530,621f79cf95a79aa51435b361,0xa2ef65aEcecb83cd1bD3579A8669779099317952,for sharing awesome tools that might be helpful for Transparency! 🛠️,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,5,3,,,,False,False,False,teaci#6108,0x1bE3505328880F1f204c664d430a9d2817d9D4cc,acidlazzer#5796,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,kristofer#1475,0xa32aECda752cF4EF89956e83d60C04835d4FA867,5.33,0.0005472498385458965,2.0459482463876886
621f79e243b89009366c8a4c,2021-08-19T22:00:00.000Z,Juankbell#7458,621f79ce95a79aa51435b20b,0x7d547666209755FB833f9B37EebEa38eBF513Abb,Mount Manu#3530,621f79cf95a79aa51435b361,0xa2ef65aEcecb83cd1bD3579A8669779099317952,for the 2nd Graviton training (including new implementations and upgrades vs the 1st training) 👨🏻‍🚀,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,13,0,,,621f79e243b89009366c88e7,False,False,False,eduardovegap#0422,0x1d921dff757610FbDB0073479e12c0a07d382677,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,kristofer#1475,0xa32aECda752cF4EF89956e83d60C04835d4FA867,9.37,0.0009620508418714917,3.5967232774207587
